id,name,breed,age,weight_kg,city,vaccinated,adopted,intake_date,note
1,Max,拉布拉多,3,28.5,台北,true,true,2023-01-15,Very friendly
2,Bella,柯基,2,12.3,台中,true,false,2023-02-20,
3,Charlie,柴犬,5,11.8,高雄,true,true,2023-03-10,Loves playing
4,Luna,米格魯,4,13.2,台北,false,false,2023-04-05,Needs training
5,Cooper,黃金獵犬,6,32.1,台南,true,true,2023-05-12,Senior dog
6,Daisy,貴賓,1,5.8,台北,true,false,2023-06-18,Puppy
7,Rocky,德國狼犬,4,35.2,新竹,true,false,2023-07-22,Guard dog
8,Lucy,柴犬,3,10.5,台中,true,true,2023-08-09,Very quiet
9,Bailey,拉布拉多,2,26.7,台北,true,false,2023-09-14,Active
10,Milo,柯基,5,13.1,高雄,false,true,2023-10-01,
11,Sadie,米格魯,7,14.3,台南,true,false,2023-11-05,Older dog
12,Tucker,柴犬,2,11.2,台北,true,true,2023-12-10,Good with kids
13,Maggie,黃金獵犬,3,29.8,台中,true,false,2024-01-20,Gentle
14,Jack,拉布拉多,4,30.2,高雄,true,true,2024-02-15,Loves water
15,Sophie,貴賓,6,6.2,台北,false,false,2024-03-08,Shy
16,Duke,德國狼犬,3,33.5,新竹,true,false,2024-04-12,Strong
17,Lola,柯基,1,11.8,台南,true,true,2024-05-20,Playful puppy
18,Bear,拉布拉多,5,31.2,台北,true,false,2024-06-15,Big boy
19,Penny,柴犬,4,10.9,台中,true,true,2024-07-10,Sweet
20,Oliver,米格魯,2,12.8,高雄,false,false,2024-08-05,Young and energetic
21,Stella,黃金獵犬,7,28.5,台南,true,true,2024-09-01,Senior gentle
22,Zeus,德國狼犬,2,32.8,新竹,true,false,2024-10-15,In training
23,Zoe,貴賓,3,5.5,台北,true,false,2024-11-20,Small and cute
24,Bentley,柯基,4,12.9,台中,true,true,2024-12-05,Very social
25,Chloe,柴犬,1,10.2,高雄,true,false,2025-01-10,Baby
26,Harley,拉布拉多,6,29.3,台北,false,true,2025-02-14,Calm
27,Roxy,米格魯,3,13.5,台南,true,false,2025-03-20,Curious
28,Buddy,黃金獵犬,2,27.8,新竹,true,true,2025-04-15,Friendly
29,Molly,貴賓,5,6.1,台中,true,false,2025-05-10,Quiet
30,Leo,柯基,3,12.5,台北,true,true,2025-06-05,Loves treats
31,Rosie,柴犬,4,11.3,高雄,true,false,2025-07-20,Adventurous
32,Oscar,拉布拉多,1,24.5,台南,false,false,2025-08-15,Growing fast
33,Ruby,德國狼犬,5,34.2,新竹,true,true,2025-09-10,Loyal
34,Toby,米格魯,2,12.6,台北,true,false,2025-10-25,Happy dog
35,Lily,黃金獵犬,4,30.1,台中,true,true,2025-11-30,Beautiful coat
